Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
WTA,Grass,3,86.5,9,0.796116505,0.203883495,1
WTA,Hard,3,86.5,8.25,0.774509804,0.225490196,1
WTA,Hard,3,86.5,8.25,0.774509804,0.225490196,1
WTA,Hard,3,86.5,8.25,0.766990291,0.233009709,1
WTA,Hard,3,86.5,8.25,0.757281553,0.242718447,1
ATP,Grass,5,86.5,3.7,0.757281553,0.242718447,1
WTA,Clay,3,86.5,9,0.75,0.25,1
WTA,Hard,3,86.5,8.25,0.699029126,0.300970874,1
WTA,Hard,3,86.5,8.25,0.666666667,0.333333333,1
WTA,Hard,3,86.5,8.25,0.660194175,0.339805825,1
WTA,Clay,3,86.5,9,0.631067961,0.368932039,1
WTA,Hard,3,86.5,8.25,0.59223301,0.40776699,1
WTA,Hard,3,86.5,9.75,0.553398058,0.446601942,1
WTA,Hard,3,86.5,8.25,0.553398058,0.446601942,1
WTA,Hard,3,86.5,8.25,0.553398058,0.446601942,1
WTA,Hard,3,86.5,8.25,0.509803922,0.490196078,1
WTA,Hard,3,86.5,8.25,0.485436893,0.514563107,1
WTA,Grass,3,86.5,8.25,0.490196078,0.509803922,1
ATP,Hard,3,70.75,21.25,0.931372549,0.068627451,1
WTA,Hard,3,86.5,9,0.460784314,0.539215686,1
WTA,Hard,3,86.5,9,0.368932039,0.631067961,1
ATP,Hard,3,69,24.75,0.931372549,0.068627451,0
WTA,Hard,3,86.5,8.25,0.291262136,0.708737864,1
ATP,Clay,5,86.2,9.1,0.450980392,0.549019608,1
ATP,Hard,5,86,3.7,0.950980392,0.049019608,1
ATP,Hard,5,86,3.7,0.921568627,0.078431373,1
ATP,Grass,5,86,3.7,0.892156863,0.107843137,1
ATP,Clay,5,86,3.7,0.882352941,0.117647059,1
ATP,Clay,5,86,3.7,0.843137255,0.156862745,1
WTA,Grass,3,86,14.25,0.794117647,0.205882353,0
ATP,Clay,5,86,3.7,0.786407767,0.213592233,1
ATP,Grass,5,86,3.7,0.647058824,0.352941176,1
ATP,Hard,5,86,3.7,0.617647059,0.382352941,1
ATP,Hard,3,67.75,23.5,0.931372549,0.068627451,1
ATP,Clay,3,81.75,7.5,0.930693069,0.069306931,1
WTA,Hard,3,85.75,8.25,0.932038835,0.067961165,1
WTA,Hard,3,85.75,8.25,0.921568627,0.078431373,1
WTA,Grass,3,85.75,12.75,0.912621359,0.087378641,1
WTA,Grass,3,85.75,8.25,0.912621359,0.087378641,1
WTA,Hard,3,85.75,8.25,0.911764706,0.088235294,1
WTA,Hard,3,85.75,8.25,0.911764706,0.088235294,1
WTA,Hard,3,85.75,12.75,0.911764706,0.088235294,1
ATP,Clay,3,71.5,17.5,0.930693069,0.069306931,1
WTA,Hard,3,85.75,7.5,0.883495146,0.116504854,1
ATP,Clay,3,64,34,0.930693069,0.069306931,0
WTA,Grass,3,85.75,8.25,0.882352941,0.117647059,1
ATP,Grass,3,69.25,20.5,0.922330097,0.077669903,1
WTA,Hard,3,85.75,8.25,0.843137255,0.156862745,1
ATP,Grass,3,56.5,37,0.922330097,0.077669903,0
WTA,Hard,3,85.75,8.25,0.825242718,0.174757282,1
ATP,Hard,3,96.5,0,0.921568627,0.078431373,1
WTA,Clay,3,85.75,12.75,0.825242718,0.174757282,1
WTA,Hard,3,85.75,7.5,0.815533981,0.184466019,1
